#GEN	TIME		EVAL	BEST		AVG		STDDEV		WORST

256	13.62		2570000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
257	13.65		2580000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
258	13.69		2590000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
259	13.75		2600000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
260	13.79		2610000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
261	13.83		2620000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
262	13.89		2630000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
263	13.93		2640000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
264	13.99		2650000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
265	14.3		2660000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
266	14.8		2670000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
267	14.13		2680000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
268	14.16		2690000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
269	14.21		2700000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
270	14.26		2710000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
271	14.33		2720000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
272	14.36		2730000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
273	14.40		2740000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
274	14.45		2750000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
275	14.49		2760000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
276	14.53		2770000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
277	14.57		2780000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
278	14.62		2790000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
279	14.66		2800000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
280	14.70		2810000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
281	14.75		2820000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
282	14.80		2830000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
283	14.85		2840000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
284	14.91		2850000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
285	14.97		2860000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
286	15.3		2870000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
287	15.9		2880000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
288	15.14		2890000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
289	15.19		2900000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
290	15.26		2910000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
291	15.32		2920000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
292	15.39		2930000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
293	15.44		2940000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
294	15.51		2950000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
295	15.57		2960000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
296	15.63		2970000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
297	15.69		2980000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
298	15.74		2990000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
299	15.80		3000000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
300	15.87		3010000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
301	15.92		3020000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
302	16.1		3030000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
303	16.6		3040000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
304	16.12		3050000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
305	16.17		3060000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
306	16.22		3070000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
